epoch,loss,accuracy,learning_rate,test_loss,test_accuracy
0,1.6093789072199038,0.278,0.001,1.6093809609648067,0.264
1,1.6092528696113986,0.318,0.001,1.6092538194719948,0.314
2,1.609126181721393,0.312,0.001,1.6091256037670534,0.304
3,1.6089951437300103,0.31,0.001,1.6089930735314193,0.3
4,1.6088574190746412,0.302,0.001,1.6088540255299577,0.296
5,1.6087107797446651,0.3,0.001,1.6087056972441296,0.298
6,1.6085528407003318,0.3,0.001,1.6085458654050306,0.306
7,1.608381948373023,0.296,0.001,1.6083728788589888,0.306
8,1.6081967188123556,0.302,0.001,1.6081853501604577,0.308
9,1.6079958879094383,0.296,0.001,1.6079817160729355,0.312
10,1.6077781281676233,0.298,0.001,1.6077609953345526,0.316
11,1.607542562744884,0.298,0.001,1.6075221322652995,0.312
12,1.6072879816013095,0.304,0.001,1.6072641263447758,0.31
13,1.6070135991793428,0.31,0.001,1.6069861957169767,0.304
14,1.6067186567345788,0.312,0.001,1.6066875387136894,0.306
15,1.606402425916438,0.316,0.001,1.6063672836097005,0.306
16,1.6060639222968724,0.312,0.001,1.6060245636647015,0.308
17,1.605702497403822,0.314,0.001,1.6056584411624721,0.306
18,1.6053173692012253,0.312,0.001,1.6052680837350892,0.31
19,1.6049077151034967,0.31,0.001,1.6048529172979,0.312
20,1.6044727712016895,0.31,0.001,1.6044122038816802,0.31
21,1.604012100546858,0.314,0.001,1.6039453063617195,0.312
22,1.6035249172435526,0.31,0.001,1.603451585119117,0.318
23,1.6030106325014548,0.31,0.001,1.602930445785646,0.318
24,1.602468583803605,0.306,0.001,1.6023812235766526,0.322
25,1.6018983987934499,0.308,0.001,1.6018032496707464,0.32
26,1.6012993639439816,0.306,0.001,1.6011957693352046,0.318
27,1.6006709175573846,0.306,0.001,1.6005584158706159,0.318
28,1.6000123257107879,0.302,0.001,1.5998904547869635,0.32
29,1.5993232457981508,0.302,0.001,1.5991914269470846,0.32
30,1.5986029989561494,0.31,0.001,1.598460750711321,0.32
31,1.597851014950517,0.31,0.001,1.5976980422202456,0.314
32,1.5970669091951004,0.31,0.001,1.5969027416820694,0.314
33,1.5962502766233204,0.312,0.001,1.5960742582203626,0.312
34,1.5954008176423875,0.314,0.001,1.5952124465989361,0.312
35,1.594518106882346,0.312,0.001,1.5943168000302568,0.31
36,1.5936018208146403,0.312,0.001,1.593387029151923,0.308
37,1.5926516455887738,0.308,0.001,1.592422749479607,0.306
38,1.5916671814616887,0.308,0.001,1.591423490709211,0.308
39,1.590648024858721,0.31,0.001,1.5903891881887153,0.31
40,1.589594020474828,0.31,0.001,1.5893195694987663,0.31
41,1.5885048802544657,0.31,0.001,1.5882142855909784,0.31
42,1.587380579093475,0.31,0.001,1.5870733296437598,0.312
43,1.5862209759319519,0.31,0.001,1.5858964757887437,0.312
44,1.5850260663086684,0.308,0.001,1.584683626437525,0.312
45,1.583795549317503,0.308,0.001,1.583434820666356,0.314
46,1.5825295910942692,0.308,0.001,1.582150017512978,0.314
47,1.58122794806347,0.308,0.001,1.5808293264558733,0.314
48,1.5798907550459251,0.306,0.001,1.579472701814866,0.316
49,1.5785180903359501,0.306,0.001,1.578080061423502,0.314
50,1.5771100885211695,0.304,0.001,1.5766515461572725,0.314
51,1.5756670217554516,0.304,0.001,1.5751873035702844,0.314
52,1.5741887706453934,0.308,0.001,1.5736875583246623,0.314
53,1.5726759086338447,0.312,0.001,1.5721523411189355,0.314
54,1.5711285091404719,0.312,0.001,1.5705818815675918,0.316
55,1.5695468128389285,0.308,0.001,1.5689765118382641,0.316
56,1.5679310766687662,0.306,0.001,1.5673366873682548,0.316
57,1.5662817098736526,0.306,0.001,1.5656624665729761,0.316
58,1.5645992319094468,0.304,0.001,1.5639543344436897,0.316
59,1.5628839868152127,0.304,0.001,1.5622126489441195,0.316
